1,2,3,4,5,Covered,Results,Weight
ESS員工自助,一般功能,洗衣卡,,,,,
ESS員工自助,一般功能,電子船票,,,,,
ESS員工自助,一般功能,諮詢服務,,,,,
ESS員工自助,一般功能,公司電話,,,,,
ESS員工自助,一般功能,違規舉報,,,,,
ESS員工自助,一般功能,百萬行,,,,,
ESS員工自助,一般功能,申請表,,,,,
ESS員工自助,一般功能,員工提名,,,,,
ESS員工自助,一般功能,員工培訓,,,,,
ESS員工自助,問卷調查,360績評,,,,,
ESS員工自助,問卷調查,膳食調查,,,,,
ESS員工自助,問卷調查,場面評核,,,,,
ESS員工自助,問卷調查,問卷調查,,,,,
ESS員工自助,問卷調查,評估表,,,,,
ESS員工自助,員工資訊,考勤日曆,,,,,
ESS員工自助,員工資訊,薪酬單據,,,,,
ESS員工自助,員工資訊,員工守則,,,,,
ESS員工自助,員工資訊,個人信息,,,,,
ESS員工自助,員工資訊,員工手冊,,,,,
ESS員工自助,員工資訊,員工優惠,,,,,
ESS員工自助,員工資訊,員工發展寶典,,,,,
太陽助理,一般功能,日曆,地區篩選,,,,
太陽助理,一般功能,日曆,篩選日曆,,,,
太陽助理,一般功能,日曆,展開/收起日曆,,,,
太陽助理,一般功能,日曆,行程計畫,,,,
太陽助理,一般功能,日曆,新增,新增行程,,,
太陽助理,一般功能,日曆,新增,新增旅程,,,
太陽助理,一般功能,日曆,新增,新增接觸,,,
太陽助理,一般功能,日曆,新增,新增投訴,,,
太陽助理,一般功能,日曆,日曆,,,,
太陽助理,一般功能,日曆,在場人數,,,,
太陽助理,一般功能,日曆,行程紀錄時間軸,,,,
太陽助理,一般功能,提醒事項,,,,,
太陽助理,一般功能,人臉識別,已儲存人臉紀錄,,,,
太陽助理,一般功能,人臉識別,從相片辨識人臉,,,,
太陽助理,一般功能,黑屏,,,,,
太陽助理,一般功能,客服中心,呼叫,,,,
太陽助理,一般功能,客服中心,返回,,,,
太陽助理,市場拓展部,跟進紀錄,最新紀錄,篩選功能,,,
太陽助理,市場拓展部,跟進紀錄,最新紀錄,搜索,,,
太陽助理,市場拓展部,跟進紀錄,最新紀錄,新增,,,
太陽助理,市場拓展部,跟進紀錄,投訴,篩選功能,,,
太陽助理,市場拓展部,跟進紀錄,需求,篩選功能,,,
太陽助理,市場拓展部,跟進紀錄,意見,篩選功能,,,
太陽助理,市場拓展部,跟進紀錄,右拉>查看更多紀錄,,,,
太陽助理,市場拓展部,駐場接觸,搜索,,,,
太陽助理,市場拓展部,駐場接觸,篩選,未接觸,,,
太陽助理,市場拓展部,駐場接觸,篩選,已接觸,,,
太陽助理,市場拓展部,KPI,,,,,
太陽助理,市場拓展部,批額申請,篩選,,,,
太陽助理,市場拓展部,批額申請,搜索,,,,
太陽助理,市場拓展部,批額申請,獲取用戶加號+,,,,
太陽助理,市場拓展部,通報審批,分類,待審核,,,
太陽助理,市場拓展部,通報審批,分類,已批核,,,
太陽助理,市場拓展部,通報審批,分類,已拒絕,,,
太陽助理,市場拓展部,通報審批,審批信息列表,單條信息,,,
太陽助理,市場拓展部,通報審批,審批信息列表,列表中凸顯身份標籤,,,
太陽助理,市場拓展部,通報審批,審批信息列表,列表中凸顯申請狀態,,,
太陽助理,市場拓展部,通報審批,審批信息詳情,可查看客戶報表,,,
太陽助理,市場拓展部,通報審批,審批信息詳情,可查看客戶背景資料,,,
太陽助理,市場拓展部,通報審批,審批信息詳情,可通報到群組,,,
太陽助理,市場拓展部,通報審批,審批信息詳情,可編輯通報內容,,,
太陽助理,市場拓展部,通報審批,審批信息詳情,可加入批核備註,,,
太陽助理,VIP,見客系統,搜索,,,,
太陽助理,VIP,紀錄系統,实时工作汇报,搜索,,,
太陽助理,VIP,紀錄系統,实时工作汇报,新增工作汇报,,,
太陽助理,VIP,紀錄系統,員工工作匯報,搜索,,,
太陽助理,VIP,紀錄系統,服務項目紀錄,搜索,,,
太陽助理,VIP,紀錄系統,服務項目紀錄,新增服务项目记录,,,
太陽助理,VIP,水錢管理,排序,,,,
太陽助理,VIP,水錢管理,新增水钱记录,,,,
太陽助理,VIP/MD,集團接觸,,,,,
太陽助理,客戶服務,派房管理,事件程度筛选,,,,
太陽助理,客戶服務,派房管理,事件类型筛选,,,,
太陽助理,客戶服務,訂務需求,筛选,,,,
太陽助理,客戶服務,訂務需求,新增,,,,
聊天,訊息,搜索,分類,獨立訊息,,,1
聊天,訊息,搜索,分類,群組類別,,,1
聊天,訊息,新增,新增對話,人員列表,,,1
聊天,訊息,新增,新增對話,未上線人員彈框提示,,,1
聊天,訊息,新增,新增對話,字母導航,,,1
聊天,訊息,新增,新增群組,群主題及圖標,,,1
聊天,訊息,新增,新增群組,是否設有管理員,,,1
聊天,訊息,新增,新增群組,是否允許成員自動退出群組,,,1
聊天,訊息,新增,新增群組,添加群組頭像,,,1
聊天,訊息,新增,新增群組,添加聯繫人,,,1
聊天,訊息,聊天,個人,聊天,,,12
聊天,訊息,聊天,個人,更多,,,19
聊天,訊息,聊天,個人,列表左滑,,,3
聊天,訊息,聊天,群組,聊天,,,12
聊天,通訊錄,按地區篩選功能,,,,,1
聊天,通訊錄,搜索,,,,,1
聊天,通訊錄,全部展開功能,,,,,1
聊天,通訊錄,字母導航快速查找功能,,,,,1
聊天,通訊錄,人員列表,可查看頭像、暱稱,,,,1
聊天,通訊錄,人員列表,可查看複製郵箱、傳送電郵,,,,1
聊天,通訊錄,人員列表,隸屬部門,,,,1
聊天,通訊錄,人員列表,辦公室/場館,,,,1
聊天,通訊錄,人員列表,地區,,,,1
聊天,通訊錄,人員列表,部門同事,部門同事列表,,,1
聊天,通訊錄,人員列表,設定暱稱,,,,1
聊天,通訊錄,人員列表,標註訊息,,,,1
聊天,通訊錄,人員列表,所有媒體、連結和文件--媒體,,,,1
聊天,通訊錄,人員列表,所有媒體、連結和文件--連結,,,,1
聊天,通訊錄,人員列表,共同群組,,,,1
聊天,通訊錄,人員列表,靜音,,,,1
聊天,通訊錄,人員列表,聊天置頂,,,,1
聊天,通訊錄,人員列表,查找聊天內容,,,,1
聊天,通訊錄,人員列表,傳送訊息,,,,1
聊天,通訊錄,人員列表,邀请群組,,,,1
聊天,更多,個人頭像與暱稱,,,,,1
聊天,更多,所有標註信息,所有標註的信息列表，點擊可跳轉到對應位置,,,,1
聊天,更多,所有媒體、連結和文件--媒體,,,,,1
聊天,更多,所有媒體、連結和文件--連結,,,,,1
聊天,更多,所有媒體、連結和文件--文件,,,,,1
聊天,更多,@有提到你的對話,所有@自己的對話匯總，點擊可跳轉至該對話位置,,,,1
聊天,更多,聽筒模式開關,,,,,1
聊天,更多,設定字體大小,字體大小點擊可預覽效果,,,,1
最新動態,全部,建立貼文,頭像/暱稱/發佈到的位置,,,,
最新動態,全部,建立貼文,分享的內容,,,,
最新動態,全部,建立貼文,添加元素,提交投票,,,
最新動態,全部,建立貼文,添加元素,拍照,,,
最新動態,全部,建立貼文,添加元素,標注人名,,,
最新動態,全部,建立貼文,添加元素,相片/影片,,,
最新動態,全部,建立貼文,存為草稿,,,,
最新動態,全部,建立貼文,放棄發佈,,,,
最新動態,全部,建立貼文,發佈,,,,
最新動態,全部,拍照,重做,,,,
最新動態,全部,拍照,傳送,建立貼文發佈,,,
最新動態,全部,拍照,傳送,存為草稿,,,
最新動態,全部,拍照,傳送,放棄發佈,,,
最新動態,全部,拍照,傳送,發佈,,,
最新動態,全部,貼文列表,頭像/暱稱/分享到的位置,,,,
最新動態,全部,貼文列表,發佈時間,,,,
最新動態,全部,貼文列表,發佈的內容,文字,,,
最新動態,全部,貼文列表,幾人點讚/幾個評論/幾次分享,,,,
最新動態,全部,貼文列表,點讚,,,,
最新動態,全部,貼文列表,評論,點讚,,,
最新動態,全部,貼文列表,評論,評論,,,
最新動態,全部,貼文列表,評論,二級評論,,,
最新動態,全部,貼文列表,分享,分享到最新動態,,,
最新動態,全部,貼文列表,分享,分享到sunpeople chat,,,
最新動態,群組,建立群組,名稱,,,,
最新動態,群組,建立群組,隱私設定,公開,,,
最新動態,群組,建立群組,隱私設定,秘密,,,
最新動態,群組,建立群組,成員,新增成員,,,
最新動態,群組,探索群組,篩選,地區,,,
最新動態,群組,探索群組,搜索,,,,
最新動態,群組,探索群組,個人,可追蹤,,,
最新動態,群組,探索群組,群組,可追蹤,,,
最新動態,群組,你的群組,群組,群組頭像、名稱,,,
最新動態,群組,你的群組,查看全部,成員,,,
最新動態,群組,你的群組,查看全部,追蹤中,,,
最新動態,群組,你的群組,查看全部,其他,,,
最新動態,群組,群組帖子,頭像/暱稱/分享到的位置,,,,
最新動態,群組,群組帖子,管理員身份/個人,,,,
最新動態,群組,群組帖子,公開/私密,,,,
最新動態,群組,群組帖子,幾人點讚/幾個評論/幾次分享,可查看點讚與分享的人,,,
最新動態,個人,暱稱,,,,,
最新動態,個人,粉絲人數,,,,,
最新動態,個人,追蹤中,,,,,
最新動態,個人,發帖,發佈動態,頭像/暱稱/發佈到的位置,,,
最新動態,個人,發帖,發佈動態,分享的內容,,,
最新動態,個人,發帖,發佈動態,添加元素,,,
最新動態,個人,發帖,拍照,重做,,,
最新動態,個人,發帖,拍照,傳送,,,
最新動態,個人,個人發佈的帖子,發佈時間,,,,
最新動態,個人,個人發佈的帖子,發佈的內容,文字,,,
最新動態,個人,個人發佈的帖子,發佈的內容,投票,,,
最新動態,個人,個人發佈的帖子,幾人點讚/幾個評論/幾次分享,,,,
最新動態,個人,個人發佈的帖子,點讚,,,,
最新動態,個人,個人發佈的帖子,分享,分享到最新動態,,,
最新動態,個人,個人發佈的帖子,分享,分享到sunpeople chat,,,
最新動態,搜索,貼文,查看全部,貼文列表,,,
最新動態,搜索,貼文,3個貼文,,,,
最新動態,搜索,群組-公開群組,查看全部,群組列表,,,
最新動態,搜索,用戶,查看全部,用戶列表,,,
最新動態,搜索,分類,貼文,所有貼文（可直接點讚評論分享）,,,
最新動態,搜索,分類,群組,所有群組（可直接追蹤）,,,
最新動態,搜索,分類,用戶,所有用戶（可直接追蹤）,,,
CRM,搜索,,,,,,
CRM,最近搜索紀錄,,,,,,
